First,Second,Count
TYPE,TERM,2617
EXPR,TERM,144
JULE,SAID,960
HERE,WELL,16151
SLEW,RATE,30749
ARCH,LESS,239
FACE,BIAS,375
MORE,UPON,350141
LOVE,GOOD,19303
WANT,JUNE,296
SEEN,TITO,528
THAT,LAID,133753
HEIR,FELL,226
WITH,PFPE,135
SEEK,REST,12476
AMID,THIS,75623
DYED,BLUE,10512
WAYS,MORE,94247
THAT,GIRL,471440
FROM,SETO,711
IONS,MUST,22306
ROSE,BACK,6431
WITH,NGAN,67
CAEN,DOES,53
AKAN,WORD,964
WHEN,PACE,985
JOSH,WHEN,1118
EYES,ONCE,42339
WORN,WHEN,48771
DRAW,SOME,164621
WENT,ONCE,38338
UFOS,OVER,1024
GOTT,NACH,489
GOAL,MADE,2753
POKE,ROOT,4439
GEVE,THES,55
PLEA,JUST,501
RELY,MORE,165495
BANK,ACTS,16183
RING,TOOK,1481
THAW,WERE,897
WITH,HTML,33621
GRAY,SEMI,725
TIBI,NUNC,824
FREE,WILL,1537781
ETRE,DUPE,336
SITU,MELT,122
MOST,SMUG,340
CARE,TEND,2629
VILE,WORK,1628
WORM,BACK,560
FEAR,SOME,31016
JUST,ONLY,15072
SEES,THAT,651928
SAID,DIDI,800
FROM,MULT,212
ILLS,WERE,10110
PAUL,SAID,256981
SOFT,MAZE,41
ANTS,WORK,1438
DULL,FILM,1681
LOMA,PARK,288
WOLF,CALL,1385
EACH,FILE,128973
ARMS,PURE,57
GAZE,BACK,42839
MATT,RASH,625
BOSE,DOES,376
DAVE,WERE,5592
INCH,BELT,4695
THAT,CITY,1973581
HEAR,MILE,107
INTO,PETE,3413
KHOO,SEOK,511
AUNT,LUTE,18145
THAN,BABE,1842
MOST,AIRY,5396
FROM,SENT,1058
COST,TEAM,280
ONLY,WAYS,39515
AMOS,PUTS,209
WILL,SUCK,18659
FROM,IRUN,1335
IMPS,THAN,110
MISS,ROLT,127
BUON,VISO,67
RAYS,FROM,290864
BOTH,HAVE,1145872
WITH,WHAT,7915738
OTIS,TEST,4819
FEES,PAID,142100
FILM,FILM,6667
RAND,KEPT,384
SEAT,ATOP,955
WORK,INTO,330266
HARM,THEM,74010
LINE,LEND,93
BEEN,OVER,463448
THAT,SORT,1806368
ERIK,BOGH,146
WORD,ISOS,289
WERE,ALSO,11992809
NOON,MUST,603
WITH,ERIK,12615
EPOS,THAN,175
FROM,AGES,72659
COST,MILK,760
PADS,HIGH,64
DEEP,PART,30182
LIKE,KUNG,943
DEAD,WERE,245886
FULL,LIPS,80638
DAYS,LAST,15764
NAME,JUST,110817
DATA,PAUL,501
MUTE,THAT,1832
IEAN,PAUL,75
OVER,LIST,1412
PELT,THAN,222
PAST,LIME,207
MANY,RBIS,67
TRUE,SAGA,545
SOME,PINE,15914
DIET,WITH,138707
BOTH,TRAM,123
MOVE,VERY,72147
BODY,THAN,141845
EVER,HERE,12567
SUNK,AWAY,6220
BOTH,ORES,818
ONLY,LION,1111
BANG,TOOK,755
JUST,KEEP,407883
EACH,PAIR,730400
ALSO,BIND,30292
TALL,WITH,73645
BACK,SPIN,2299
WORK,UNIT,111987
CRAM,WENT,171
GIVE,LOVE,35472
WERE,THEY,2691192
MAKE,ANTS,216
FIND,HIDE,993
ALSO,WERE,877728
PLAY,RIOT,66
FROM,WHOM,2622997
EYES,WERE,3723277
BOOT,FULL,1231
STAR,COME,1953
BLUE,STAR,53520
EARS,FROM,59432
SAME,FEAT,11659
DONE,THIS,1116476
IONS,INTO,56668
NICE,CRIB,238
DONE,THAT,1020271
THAN,REAL,352292
TREE,KEAN,66
UNTO,HERS,403
RIVE,RISE,164
FDDI,NICS,77
JURY,WERE,80980
COST,GOAL,1816
BORN,NINE,6949
DECK,SHIP,2189
TOWN,TYPE,2497
DEEP,DROP,2721
TION,NAME,183
BESS,TAKE,86
KEEL,LINE,3468
BOIL,LIVE,148
FROM,JULY,460343
BOER,CAMP,3146
SOME,UPON,18712
UPON,THEM,6180697
LIKE,THEM,1490069
THEN,YOUR,380431
SAYS,THAT,8765571
KEEP,THAT,418027
TAIL,WIND,11679
ROOT,AWAY,1016
BIOS,CODE,2551
WELL,WHEN,439149
WAIF,HOME,119
MORE,JUST,294152
MAIN,FLOW,46104
DEBT,OVER,18163
TAKE,LONG,502276
LIKE,WHEN,435420
TERM,BEAD,67
BASE,PORT,3056
SUNT,DUAS,68
JEFF,CARR,596
THEN,CARE,10272
BOOK,MING,52
TOMB,HATH,295
CAMP,SOME,11911
JULY,OVER,3085
LEAN,BACK,92471
HOOK,WILL,12074
MORL,POLL,75
NORA,DEAR,1202
FIND,HUCK,269
BROW,INTO,3556
WHEN,RODS,1381
TELL,BOYD,210
PUTS,MANY,6784
ESSE,WERE,247
FULL,FLOW,39160
THAT,LAST,1036192
DOWN,DEAR,690
THAT,MARK,446133
MANY,FURS,3686
CASE,WAVE,353
POOR,WHOM,8486
LEFT,DOOR,10701
DOTH,BODE,80
ROOM,THAN,87467
WORK,OWNS,460
DEAD,AWAY,23553
ATHE,TERM,237
HANS,HUTH,1758
THAT,AIMS,130986
WHAT,VERB,4141
TRIO,THAT,10842
MIND,TALK,1463
GODS,FLED,944
TOUT,RANG,168
CROW,WITH,11587
FISH,CAME,23749
HIGH,WIGS,240
HIGH,PEAT,840
LIMB,FROM,81906
KNOW,BEST,172299
AXES,THAT,23799
LONG,MIND,251
SKIN,MEAT,337
SMDS,USES,236
NAME,LOIS,187
GINA,TOOK,1779
FALL,WENT,2238
THEY,BOTH,2874490
DULL,RACE,1362
OMER,TOOK,230
YEAR,GWEN,45
SKIN,GLOW,2597
LIFE,SAYS,6908
NICK,GAVE,5457
WITH,MACE,7980
FREE,FROM,7263232
FAKE,BAND,98
WILL,HEAR,703743
WHEN,REES,882
FUND,BOOK,1975
COME,DOWN,3384992
KNEW,NOAH,483
SAME,FORM,620413
FAME,YEAR,20088
SUCH,LIKO,60
GIFT,ONCE,2113
TAKE,KATY,495
YARD,WORK,38955
FROM,FUND,12742
TOMB,PART,88
YUAN,SHIH,93830
WARY,LOOK,11580
BACK,SUIT,254
BARE,RISE,200
MAIN,MUCH,699
MARS,WILL,16114
PAID,FARE,672
INTO,BREN,100
SEEN,MISS,22327
HALF,CALF,49837
INTA,TOWN,350
NOSE,THEN,2870
SEHR,SICH,510
THEN,THAN,114128
LOLA,FELT,578
FISH,GELS,105
BUDS,EACH,1883
IPOD,HARD,244
TRAS,ELLA,455
THEN,ROSE,192321
CHOU,CHIN,1241
TOSI,SAID,220
LUNG,SCAN,19873
JACK,SHIT,3056
LEAD,THRO,295
LAYS,MORE,10667
FOOT,AVON,82
PUMP,WAVE,7582
ALSO,LEAF,2198
FINE,TAPE,291
HOLT,TOLD,1532
PLAY,GOAL,1502
POLE,PAST,180
DEAL,SUCH,3191
BASE,YOUR,79983
UOUS,THAN,56
SAME,LIES,3654
REZA,CAWN,1692
MAIN,CROP,60014
DATA,VERY,17695
ASHY,HEAP,136
YOUR,FOOT,267762
YOKE,THEY,4807
WITH,LIDS,29105
SEEN,WERE,64520
FOOT,BACK,36553
HEAD,COOL,7593
LIFE,CAMP,1122
THAT,OWED,37931
WILL,TILE,1275
SEEN,ADAM,2083
FROM,MOAB,7388
DROP,WIRE,6102
THAN,SARA,2713
HEAR,THAT,1742137
LAWN,NEAR,4980
CELL,LINE,429526
LINZ,ALSO,180
TAIL,WING,1123
IRON,DRIP,121
YOUR,JOLT,89
JOHN,EMIL,705
DONE,MORE,685871
MORE,RIFE,7000
SHAL,LAST,47
THEM,PILE,2564
ARCH,WHEN,4894
WEAR,GILT,415
WILY,ARTS,1442
EACH,DYAD,8698
THEY,COPY,19807
LISA,BUCK,109
WITH,HERE,355564
TINY,TOWN,35834
GOOD,HAIL,269
FIRN,SNOW,586
ROAD,BIKE,6434
PART,DOSE,129
SKIN,CURL,89
LOST,BIRD,4700
OVER,ONCE,63662
JANG,SHAH,335
THAT,VERY,3719266
BATH,PUVA,642
WITH,MASC,139
MAMA,KING,1258
EACH,LOST,19896
LOSE,MORE,112062
NONE,HAVE,199631
SOME,YARB,60
TIME,POOR,9652
JOHN,WASH,489
HELP,MASK,2121
WILL,PROW,153
SAME,MIND,157800
ANNA,BOND,126
BIND,WITH,54665
NEXT,INTO,14748
EVEN,SOME,890082
THAT,GIVE,991232
THIS,DOWN,162916
MEMO,FROM,82174
GRAY,MOSS,8892
INTO,THIS,5158341
KATE,ROSE,2475
NAME,FORM,8952
LINE,POEM,22077
OUDH,UPON,127
MOON,PONY,150
COLD,OVER,8556
TIDY,COOK,119
DIES,HARD,30587
NACL,UPON,192
WILL,BEAR,778880
WITH,AXES,87435
KUEI,YUNG,110
FROM,ARMY,63700
MILL,WARD,1058
ETRE,PLUS,5411
EACH,OVEN,4629
UNIT,FROM,120434
HOLD,MANY,37794
SAFE,PART,2920
PUTS,THIS,76311
YEAR,FROM,973355
DRAG,DATA,3490
MORE,TIME,3380939
MORE,THAN,117695865
KNEE,OPEN,557
FIVE,FACT,325
SORT,THAT,382671
DROP,UPON,25482
LINE,PLOT,17537
HEAT,RASH,10416
WRIT,FROM,12809
ROAD,DIRT,3476
OWNE,HOUS,260
EACH,CRIB,1356
MISS,HAKE,168
OBED,FROM,59
THAT,SHEE,16432
HAND,OVER,1547353
WERE,SMOK,68
DEAD,LOSS,31289
DEEP,COMA,25673
SUMP,TUBE,2092
WORK,HUMS,48
CODE,HEAD,262
EACH,CASE,3597722
ETRE,RECU,190
BOTH,TEAM,6359
MADE,GAIA,172
THEM,DOWN,2028408
GREY,SOIL,4392
CASH,FARE,3593
MARK,WIRE,47
GEAR,WILL,15640
MUCH,TIME,3084801
THAT,ACTH,9958
FUZE,WIRE,80
DEAD,PORK,106
TION,DOES,4655
MAYA,JADE,553
WERE,SICK,221142
THAT,HOLD,375834
MORE,REAL,574628
NULL,THEN,6741
MUSE,SING,164
ROCK,GAME,455
MORA,THEN,348
TEXT,DATA,37533
BODY,TAPS,187
BUNS,THAT,1999
LOBE,BOTH,188
JANE,SHOE,45
DIES,BACK,6758
PAST,BELT,42
VOTE,SUCH,5866
THEY,THUS,387888
THAT,FALL,691181
DICK,REES,96
RODE,FROM,48536
FROM,BELL,35773
LIMA,HAVE,1581
LINN,CAME,263
WHAT,USED,218906
JARS,HOME,144
ZONE,DONT,116
THEY,BLED,19858
JUAN,THAT,7317
LORD,SAID,301337
WHAT,BETH,3496
BOTH,VAST,3272
RISK,WITH,116555
PCWP,LESS,51
FORM,FORT,208
AWAY,TURN,538
DONE,FULL,12344
HAVE,HERE,1223911
LONG,HIND,10896
DATA,WERE,1592794
TELL,MARY,17616
EVIL,LEAD,442
JUST,SUCH,1134234
DOLE,MORE,183
LIKE,FORD,16967
MADE,PART,164207
PART,FIRM,490
RITA,DOVE,10163
FEEN,FOME,211
THIS,WINE,82413
UNIT,MUST,74281
KIND,ARMS,2440
FALL,WILL,33040
BOER,PUTS,43
MUCH,ABLE,2635
THAN,READ,51020
UNDO,DATA,1482
VALE,RAIL,202
ONLY,MORO,120
CRUM,WITH,105
ROMA,BOTH,52
HOLE,SAID,671
ARTS,MOST,3102
SOFA,FIVE,48
JOHN,HULM,82
DSSS,THAT,298
WITH,THAR,755
THAT,WENT,1527711
FROM,GURU,8178
KISS,IVAN,45
TIPS,TEND,577
LAWS,FADE,57
SORE,LINE,106
SHOW,UPON,13563
KEEL,OVER,18594
MARY,CLAY,2887
SENT,AWAY,423579
FAST,SEEM,181
VIEW,WITH,398362
TORN,MASS,243
GROW,THEY,15626
MOTS,SONT,2490
WENT,HANG,158
TUNG,YUAN,5640
VERY,BOLD,92393
PLUS,LETS,231
PLAY,JEST,51
HOPI,GIVE,46
JESS,ROTH,146
HILL,MASS,4744
CHOU,CLAN,304
OATH,WHAT,3104
WITH,RAIN,259343
NOUR,UPON,40
GIRL,DREW,10252
FROM,CUBA,196282
SUCH,WITH,41235
REAL,COMB,155
LAYD,UPON,1767
VIEW,MUST,65775
MEND,WHAT,4714
LINE,COLD,1093
FROM,COPE,2886
EACH,WORE,18235
BACK,TICK,119
JELL,LIKE,63
BOAT,FUEL,816
WERE,SPIT,2045
TIME,THEY,4371883
AWOL,FROM,4405
MOST,SONS,4060
FADS,SUCH,1183
EVEN,EDEN,1277
SENT,WORD,363944
THEY,LEFT,2286368
THAT,CUTE,21266
YOUR,PORT,14996
WILL,PEAL,919
EDIT,PAGE,6826
BURN,SOME,15963
KING,SAID,240350
NUDE,BODY,30319
TROY,READ,194
SUFI,FOLK,208
FROM,PILL,1365
BURN,TEAM,1933
SHIP,NAME,3448
ACTS,BEEN,1661
HARD,WOOD,145903
THAN,KICK,1449
ARMY,HEAD,5165
RARE,SOUL,3212
BELT,TYPE,4212
HALF,PAGE,26507
LOST,TILL,3737
BIKE,TOUR,4139
SAME,RENT,14064
WERE,BORN,2045130
SOIL,LINE,10951
DISC,LIES,1097
FOLK,SONG,201046
CLAY,OVER,10399
FLUX,TURN,54
MUST,COME,1803762
COST,HITS,65
BOOM,ENDS,1311
GITS,JUST,46
MIMI,WERE,1490
PROS,LIKE,2246
GLYN,CAME,176
SONG,GAVE,2633
OGUN,OGUN,207
DEAL,WITH,16189810
DEAD,MUCH,1184
USED,TERM,41420
THEM,PAYS,2926
RICH,BODY,21426
SUCH,ENVY,4341
WADE,SAID,16725
WHEN,WAYS,2123
VEDA,UPON,71
KATY,INTO,509
AXIS,BARS,260
WITH,HOME,209346
PAIR,READ,656
TRUE,SOFT,712
MARK,UPON,134973
HELD,ANNA,801
MINE,WORK,7481
BOSS,FACE,259
FAST,PONY,845
GAZE,BENT,1976
WHEN,COIL,2167
MORE,CLUB,3889
DUTY,WELL,26200
PULL,EACH,12844
ACME,CODE,286
RICO,FROM,11228
ALSO,THAT,4365979
THIS,EDGE,58243
NOAH,LIVE,141
WIRE,KNOT,156
FAME,THAT,67658
HALL,GLOW,78
SOIL,TYPE,166809
EVER,ROSE,15267
CLAY,LESS,1060
LOOK,AWAY,251456
LONG,WEAK,2220
EARS,THEY,10817
JASS,BAND,2234
DAMP,RAIL,108
BACK,TILL,72584
INTE,TION,84
NUNC,ERIT,173
EVIL,HAVE,26896
KEEN,EYES,90459
WITH,BOYS,237172
DICH,HOCH,53
SLOW,ARTS,384
MICS,THAN,151
NAGA,WITH,928
SUCH,TOMB,1078
BOOK,AMOS,156
BEDS,THEY,9978
FOOT,THAT,76704
GREY,WILL,6056
DAME,EDNA,6263
PURE,FUSS,68
MASS,CARD,1545
PARS,QUAE,643
HAVE,MADE,12636808
BULB,WERE,3044
THAT,FOIA,964
PRAY,YOUR,43215
ASIA,THAT,65080
HAEC,ENIM,4882
KNEW,ABLE,68
DROP,MEAN,137
WILL,LEAD,2208003
SHEW,THEM,46335
RISK,FROM,217737
RAKE,WHEN,865
BRED,UPON,4965
CHAN,HENG,3807
